"Group","Channels"
"Fundamental Right","O1"
"Fundamental Right","PO3"
"Fundamental Right","POz"
"Fundamental Right","Oz"
"Fundamental Right","PO7"
"Fundamental Right","P5"
"Fundamental Left","O2"
"Fundamental Left","PO8"
"Fundamental Left","PO4"
"Fundamental Left","P8"
"Fundamental Left","P6"
"Fundamental Left","Oz"
"IMS Right","Oz"
"IMS Right","POz"
"IMS Right","O1"
"IMS Right","PO3"
"IMS Right","C2"
"IMS Right","Cz"
"IMS Left","Iz"
"IMS Left","Oz"
"IMS Left","O1"
"IMS Left","Cz"
"IMS Left","O2"
"IMS Left","PO7"
